Age;Depth (cm);Sedimentation rate;Sedimentation rate x 1000;Concentration (grains/cm3) / 1000;picea;betula;pinus;populus;alnus.crispa;alnus.rugosa;juniperus;salix;larix;cyperaceae;ericaceae;myrica;lycopodium;artemisia;poaceae;pediastrum;nuphar;potamogeton;tetrade;saxifragaceae;epilobium.palustris;coptis.trifolia;ambrosia;thalictrum;sparganium;rosaceae;equisetum;chenopodiaceae;scutellaria.galericulata;aster;dryas;brassicaceae;caryophyllaceae;sparganiaceae;sheperdia.canadensis;rubus;cruciferae;ranunculaceae;papaveraceae
4879;253;0.060606061;60.606061;33.12;41.39492754;36.14130435;7.246376812;0.27173913;10.32608696;1.630434783;0;0.27173913;0;0.27173913;1.086956522;0;0;0;0;0;0.815217391;0.543478261;0;0;0;0;0;0;0;0;0.300601202;0;0;0;0.300601202;0.300601202;0;0;0;0;0;0;0
4945;257;0.061538462;61.538462;50.55421687;55.38608198;27.45471878;5.147759771;0.285986654;9.151572927;1.143946616;0;0.571973308;0;0;0.571973308;0;0;0;0;0;0;0.285986654;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5010;261;0.06779661;67.79661;34;65.68627451;18.23529412;4.901960784;0.294117647;6.764705882;1.764705882;0;0;0;0.588235294;1.470588235;0;0;0;0;0;0.294117647;0;0;0;0;0;0;0;0;0.321543408;0;0;0;0;0;0;0;0;0;0.321543408;0;0;0
5069;265;0.063492063;63.492063;42.54878049;54.60017197;22.69991402;6.964746346;0.257953568;10.06018917;1.805674979;0;0.257953568;0.257953568;0.515907137;1.289767842;0.257953568;0;0.257953568;0;0;0.257953568;0.257953568;0;0;0;0;0;0;0;0;0.297029703;0;0;0;0.297029703;0;0;0;0;0;0;0;0
5132;269;0.0625;62.5;37.84326019;67.29622266;18.19085487;3.180914513;0.596421471;7.45526839;0.298210736;0.596421471;0;0;0.596421471;0.596421471;0;0.596421471;0;0.298210736;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5196;273;0.063492063;63.492063;31.36082474;58.382643;18.93491124;3.747534517;0.295857988;13.01775148;1.479289941;0;0.295857988;0.295857988;0.887573964;2.071005917;0;0;0.591715976;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5259;277;0.063492063;63.492063;25.90849673;47.52774975;30.57517659;4.339051463;0;13.31987891;0.908173562;0;0.605449041;0;0.605449041;0.908173562;0.302724521;0.302724521;0.302724521;0;0;0;0;0;0.302724521;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5322;281;0.058823529;58.823529;33.12371134;67.78711485;18.767507;3.921568627;0;7.00280112;0.280112045;0.56022409;0.280112045;0;0.840336134;0.280112045;0;0;0;0;0;0.280112045;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5390;285;0.061538462;61.538462;53.75609756;51.36116152;21.23411978;6.442831216;0;16.6061706;1.08892922;0;0.272232305;0;0.54446461;0.816696915;0.272232305;0;0.54446461;0;0;0;0.272232305;0;0;0;0;0;0;0;0.296442688;0;0;0;0;0;0.296442688;0.296442688;0;0;0;0;0;0
5455;289;0.064516129;64.516129;34.5129683;66.03206413;16.83366733;5.711422846;0;7.815631263;0.300601202;0;0;0;1.20240481;0.601202405;0;0;0;0;0;0;0.300601202;0;0.300601202;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5517;293;0.055555556;55.555556;47.568;70.83753784;14.53077699;4.641775984;0;6.962663976;1.210898083;0;0;0;1.210898083;0.302724521;0;0.302724521;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.296442688;0;0;0;0;0
5553;295;0.045454545;45.454545;48.21705426;44.26580922;32.79742765;2.679528403;0;16.07717042;0.321543408;0;0.964630225;0;0.643086817;0.643086817;0;0.643086817;0;0;0;0;0.321543408;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5597;297;0.054054054;54.054054;58.55072464;68.11881188;13.36633663;4.554455446;0.297029703;7.425742574;1.485148515;0;0.594059406;0;1.188118812;1.782178218;0.297029703;0;0.297029703;0;0;0;0;0;0;0;0;0;0;0;0.31512605;0;0;0;0;0;0;0.31512605;0;0;0;0;0;0
5634;299;0.071428571;71.428571;66.08414239;69.93143976;13.22233105;6.268364349;0.587659158;7.63956905;0.293829579;0;0;0;0.587659158;0.881488737;0;0;0.293829579;0;0;0.293829579;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5662;301;0.033898305;33.898305;48.15;71.02803738;15.26479751;3.738317757;0.31152648;5.607476636;1.246105919;0;0;0;0.934579439;0.62305296;0.31152648;0.31152648;0;0.31152648;0;0;0;0;0.31152648;0;0;0;0;0;0.283553875;0;0;0;0;0;0;0;0;0;0;0;0;0
5721;303;0.047619048;47.619048;68.05280528;62.36663434;19.49563531;2.424830262;0;13.38506305;1.163918526;0;0.290979631;0;0.581959263;0.290979631;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5763;305;0.036363636;36.363636;43.7080292;63.72745491;13.52705411;2.004008016;0.300601202;14.72945892;0;0.300601202;0;0;2.404809619;0.300601202;0.901803607;0.300601202;0.300601202;0.300601202;0;0.300601202;0.601202405;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5818;307;0.037735849;37.735849;68.14814815;60.77075099;15.71146245;5.138339921;0;13.63636364;0.592885375;0;0;0;0.889328063;0.889328063;0.592885375;0;0;0;0;0.296442688;0;0.296442688;0.296442688;0;0;0.337078652;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5871;309;0.039215686;39.215686;109.9435028;65.77595067;15.10791367;5.241521069;0.308324769;8.633093525;2.158273381;0.308324769;0;0.308324769;0.308324769;1.233299075;0;0;0.308324769;0;0;0;0;0;0.308324769;0;0;0;0;0;0.291828794;0;0;0;0;0;0;0;0;0.291828794;0;0;0;0
5922;311;0.037735849;37.735849;62.4691358;62.94466403;15.11857708;5.039525692;0.296442688;10.37549407;1.778656126;0.296442688;0;0;1.185770751;1.482213439;0;0;0.296442688;0;0;0.296442688;0;0;0.592885375;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5975;313;0.040816327;40.816327;77.70114943;71.40039448;14.49704142;2.268244576;0;8.579881657;1.479289941;0;0.887573964;0;0.591715976;0.295857988;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.621118012;0;0;0;0;0;0;0;0;0;0;0;0;0
6024;315;0.040816327;40.816327;76.46586345;66.80672269;15.75630252;6.407563025;0;7.24789916;0.630252101;0.31512605;0.31512605;0;0.630252101;0.31512605;0.31512605;0.31512605;0;0;0;0;0.31512605;0;0;0;0;0;0;0;0.578592093;0;0;0;0;0;0;0;0;0;0;0;0;0
6073;317;0.040816327;40.816327;109.1176471;63.61185984;18.59838275;2.425876011;0;12.39892183;0.539083558;0;0.269541779;0;0.808625337;0.269541779;0;0.539083558;0;0;0;0;0.539083558;0;0;0;0;0;0;0;0.294985251;0;0;0;0;0;0;0;0;0;0;0.294985251;0;0
6122;319;0.037037037;37.037037;59.7740113;71.07750473;12.19281664;3.402646503;0;9.357277883;0.283553875;0;0;0;0.850661626;0.56710775;0.283553875;0.283553875;0.56710775;0.283553875;0;0.283553875;0.283553875;0;0;0;0;0;0;0;0.310559006;0;0;0;0;0;0;0;0;0;0;0;0;0
6176;321;0.032258065;32.258065;73.33333333;68.5770751;13.04347826;2.371541502;0.296442688;13.63636364;1.185770751;0;0.296442688;0;0.296442688;0.296442688;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6238;323;0.038095238;38.095238;55.01449275;69.8630137;13.59325606;3.582718651;0;11.38040042;0.316122234;0;0;0;0.948366702;0.316122234;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
