age;depth;Sedimentation rate;PAR;Picea;Betula;Pinus;Populus;Alnus.crispa;Alnus.rugosa;Juniperus;Salix;Larix;Cyperaceae;Pediastrum;Ericaceae;Myrica;Lycopodium;Nuphar;Potamogeton;Artemisia;Poaceae;;;;;;;;;;;;;;;;;;;;
4555;383;0.050784656;2500.570907;840.5501783;1169.91937;150.1923516;0;197.6215153;31.61944244;7.904860611;15.80972122;0;47.42916367;0;31.61944244;0;0;0;0;0;7.904860611;;;;;;;;;;;;;;;;;;;;
4590;385;0.05088783;1546.084922;646.9433363;610.9150149;104.9520667;4.699346269;70.49019403;42.29411642;4.699346269;4.699346269;0;14.09803881;0;23.49673134;0;14.09803881;4.699346269;0;0;4.699346269;;;;;;;;;;;;;;;;;;;;
4622;387;0.050978705;3362.200713;1747.625184;1057.205358;93.49435138;21.57561955;345.2099128;53.93904887;0;0;0;10.78780977;0;21.57561955;0;0;0;0;0;10.78780977;;;;;;;;;;;;;;;;;;;;
4656;389;0.05107929;2464.438633;1158.653984;710.3652404;133.3371649;0;268.9732464;82.76099888;0;20.69024972;6.896749907;20.69024972;0;41.38049944;0;13.79349981;0;0;6.896749907;0;;;;;;;;;;;;;;;;;;;;
4688;391;0.051178594;1529.43447;803.065887;387.9981252;99.25533435;4.511606107;135.3481832;40.60445496;4.511606107;4.511606107;0;9.023212213;0;27.06963664;0;0;9.023212213;0;9.023212213;4.511606107;;;;;;;;;;;;;;;;;;;;
4718;393;0.051276641;1843.727888;1002.729202;582.2298595;28.30284039;0;115.232993;42.45426059;0;24.25957748;0;24.25957748;0;6.06489437;6.06489437;0;6.06489437;0;6.06489437;6.06489437;;;;;;;;;;;;;;;;;;;;
4748;395;0.051362683;2520.648569;1334.461007;697.907768;212.184413;0;191.7329033;23.00794839;7.669316131;7.669316131;7.669316131;7.669316131;0;30.67726453;0;0;15.33863226;0;0;0;;;;;;;;;;;;;;;;;;;;
4782;397;0.051458333;3556.743421;2412.280702;781.25;106.2225877;0;154.1940789;10.27960526;10.27960526;0;0;41.11842105;0;30.83881579;10.27960526;0;10.27960526;0;0;0;;;;;;;;;;;;;;;;;;;;
4814;399;0.051542124;2768.863907;1746.891501;596.8318855;155.3398058;24.52733776;147.1640266;32.70311702;16.35155851;0;0;16.35155851;0;24.52733776;0;0;0;0;0;8.175779254;;;;;;;;;;;;;;;;;;;;
4846;401;0.051624846;3418.400979;1475.342939;1017.044919;247.9831748;18.83416518;386.1003861;75.3366607;0;18.83416518;9.417082588;103.5879085;0;56.50249553;9.417082588;0;9.417082588;0;0;0;;;;;;;;;;;;;;;;;;;;
4879;403;0.05170652;2087.539936;876.0383387;764.85623;153.3546326;5.750798722;218.5303514;34.50479233;0;5.750798722;0;5.750798722;0;23.00319489;0;0;17.25239617;11.50159744;0;0;;;;;;;;;;;;;;;;;;;;
4945;407;0.051856336;3170.417519;1761.006289;872.9256649;163.6735622;9.092975676;290.9752216;36.37190271;0;18.18595135;0;0;0;18.18595135;0;0;0;9.092975676;0;0;;;;;;;;;;;;;;;;;;;;
5010;411;0.051992032;2092.592593;1378.600823;382.7160494;102.8806584;6.172839506;141.9753086;37.03703704;0;0;0;12.34567901;0;30.86419753;0;0;6.172839506;0;0;0;;;;;;;;;;;;;;;;;;;;
5069;415;0.052103814;2552.570266;1404.577226;583.9502168;179.1665438;6.635797918;258.7961188;46.45058542;0;6.635797918;6.635797918;13.27159584;0;33.17898959;6.635797918;0;6.635797918;6.635797918;6.635797918;0;;;;;;;;;;;;;;;;;;;;
5132;419;0.052212733;2228.612376;1504.257805;406.6162161;71.10228916;13.33167922;166.6459902;6.665839609;13.33167922;0;0;13.33167922;0;13.33167922;0;13.33167922;0;0;0;6.665839609;;;;;;;;;;;;;;;;;;;;
5196;423;0.052288834;1805.45911;1054.074747;341.86208;67.66020334;5.341595;235.03018;26.707975;0;5.341595;5.341595;16.024785;0;37.391165;0;0;0;0;10.68319;0;;;;;;;;;;;;;;;;;;;;
5259;427;0.052353052;1447.062485;689.8445653;443.7853573;62.97944014;0;193.3322349;13.18174329;0;8.787828857;0;8.787828857;0;13.18174329;4.393914429;4.393914429;0;0;4.393914429;0;;;;;;;;;;;;;;;;;;;;
5322;431;0.052396047;1798.090791;1222.297673;338.4047276;70.71143561;0;126.2704207;5.050816829;10.10163366;5.050816829;0;15.15245049;0;5.050816829;0;0;5.050816829;0;0;0;;;;;;;;;;;;;;;;;;;;
5390;435;0.052418613;2815.051382;1457.748474;602.6733974;182.8624411;0;471.3215031;30.90632807;0;7.726582018;0;15.45316404;0;23.17974605;7.726582018;0;0;7.726582018;15.45316404;0;;;;;;;;;;;;;;;;;;;;
5455;439;0.052412042;1737.946642;1165.113771;297.0244515;100.7761532;0;137.9042096;5.304008062;0;0;0;21.21603225;0;10.60801612;0;0;0;5.304008062;0;0;;;;;;;;;;;;;;;;;;;;
5517;443;0.052386912;2352.522255;1666.468843;341.8397626;109.1988131;0;163.7982196;28.48664688;0;0;0;28.48664688;0;7.121661721;0;7.121661721;0;0;0;0;;;;;;;;;;;;;;;;;;;;
5553;445;0.052360667;2322.565077;1038.116209;769.1611619;62.83996421;0;377.0397852;7.540795705;0;22.62238711;0;15.08159141;0;15.08159141;0;15.08159141;0;7.540795705;0;0;;;;;;;;;;;;;;;;;;;;
5597;447;0.052334802;2784.827682;1908.328133;374.4539214;127.5917065;8.321198253;208.0299563;41.60599126;0;16.64239651;0;33.28479301;0;49.92718952;8.321198253;0;0;0;8.321198253;0;;;;;;;;;;;;;;;;;;;;
5634;449;0.052300157;3103.625419;2176.80604;411.580974;195.1198691;18.29248773;237.8023405;9.146243866;0;0;0;18.29248773;0;27.4387316;0;0;9.146243866;0;9.146243866;0;;;;;;;;;;;;;;;;;;;;
5662;451;0.052256944;2227.37819;1587.006961;341.0672854;83.52668213;6.960556845;125.2900232;27.84222738;0;0;0;20.88167053;0;13.92111369;6.960556845;6.960556845;0;0;0;6.960556845;;;;;;;;;;;;;;;;;;;;
5721;453;0.052214372;3111.696629;1940.660458;606.6450266;75.45336152;0;416.5025556;36.21761353;0;9.054403383;0;18.10880677;0;9.054403383;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
5763;455;0.052163503;1953.715319;1256.383157;266.6851042;39.50890432;5.926335648;290.3904467;0;5.926335648;0;0;47.41068518;0;5.926335648;17.77900694;5.926335648;5.926335648;11.8526713;5.926335648;5.926335648;;;;;;;;;;;;;;;;;;;;
5818;457;0.052113393;2977.581269;1842.266077;476.2931809;155.768839;0;413.3865344;17.97332758;0;0;0;26.95999137;0;26.95999137;17.97332758;0;8.986663791;0;0;0;;;;;;;;;;;;;;;;;;;;
